id,displayBadges,highlight,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default
g1,Híbrido|Lujo|Enfriamiento|Materiales Naturales,"Descanso de lujo hecho a mano con materiales premium como látex natural, cashmere y resortes encapsulados individualmente — diseñado para envolver tu cuerpo en comodidad lujosa noche tras noche.",Cubierta natural de cashmere y pelo de camello disipa el calor y la humedad,"Látex natural, capas de comodidad suaves y microrresortes se adaptan suavemente a hombros y caderas",Resortes encapsulados individualmente con capa de transición de microrresortes minimizan la perturbación de la pareja,Sistema de resortes encapsulados individualmente con soporte por zonas para una alineación espinal adecuada,Sensación suave y acogedora para quienes duermen de lado y tienen dolor en puntos de presión,,,Construcción de lujo hecha a mano con materiales naturales premium diseñada para durar,"Descanso de lujo hecho a mano con materiales premium como látex natural, cashmere y resortes encapsulados individualmente — diseñado para envolver tu cuerpo en comodidad lujosa noche tras noche."
g2,Híbrido|Lujo|Enfriamiento|Materiales Naturales,"Descanso de lujo hecho a mano con materiales premium como látex natural, cashmere y resortes encapsulados individualmente — diseñado para envolver tu cuerpo en comodidad lujosa noche tras noche.",Cubierta natural de cashmere y pelo de camello disipa el calor y la humedad,"Látex natural, capas de comodidad equilibradas y microrresortes brindan alivio de presión receptivo",Resortes encapsulados individualmente con capa de transición de microrresortes minimizan la perturbación de la pareja,Sistema de resortes encapsulados individualmente con soporte por zonas para una alineación espinal adecuada,,Sensación media perfecta para la mayoría y todas las posiciones de sueño,,Construcción de lujo hecha a mano con materiales naturales premium diseñada para durar,"Descanso de lujo hecho a mano con materiales premium como látex natural, cashmere y resortes encapsulados individualmente — diseñado para envolver tu cuerpo en comodidad lujosa noche tras noche."
g3,Híbrido|Lujo|Enfriamiento|Materiales Naturales,"Descanso de lujo hecho a mano con materiales premium como látex natural, cashmere y resortes encapsulados individualmente — diseñado para envolver tu cuerpo en comodidad lujosa noche tras noche.",Cubierta natural de cashmere y pelo de camello disipa el calor y la humedad,Látex natural y microrresortes brindan alivio de presión receptivo sin sacrificar firmeza,Resortes encapsulados individualmente con capa de transición de microrresortes minimizan la perturbación de la pareja,Sistema de resortes encapsulados individualmente con soporte por zonas para una alineación espinal adecuada,,,Sensación firme para quienes duermen boca arriba o boca abajo y personas de mayor contextura,Construcción de lujo hecha a mano con materiales naturales premium diseñada para durar,"Descanso de lujo hecho a mano con materiales premium como látex natural, cashmere y resortes encapsulados individualmente — diseñado para envolver tu cuerpo en comodidad lujosa noche tras noche."
g4,Todo Látex|Enfriamiento|Durabilidad|Soporte,"Experimenta el lujo hecho a mano y la sensación naturalmente fresca y flotante del látex puro — Chattam & Wells establece un nuevo estándar en descanso premium.",Tecnología de cambio de fase — telas frescas al tacto que se adaptan a la temperatura,"Látex Talalay para una capa de confort natural y duradera que alivia la presión. Transpirable, antimicrobiano e hipoalergénico",Resortes encapsulados minimizan la perturbación de la pareja,"UNIDAD DE RESORTES QUANTUM ENCAPSULADOS con 1575 resortes individuales encapsulados de calibre 17",,,Sensación euro top medio-firme ideal para quienes duermen boca arriba y quieren comodidad superficial con soporte sólido,"Cosido a mano, garantía de por vida","Experimenta el lujo hecho a mano y la sensación naturalmente fresca y flotante del látex puro — Chattam & Wells establece un nuevo estándar en descanso premium."
g5,Todo Látex|Enfriamiento|Durabilidad|Soporte,"Experimenta el lujo hecho a mano y la sensación naturalmente fresca y flotante del látex puro — Chattam & Wells establece un nuevo estándar en descanso premium.",Tecnología de cambio de fase — telas frescas al tacto que se adaptan a la temperatura,"Látex Talalay para una capa de confort natural y duradera que alivia la presión. Transpirable, antimicrobiano e hipoalergénico",Resortes encapsulados minimizan la perturbación de la pareja,"UNIDAD DE RESORTES QUANTUM ENCAPSULADOS con 1575 resortes individuales encapsulados de calibre 17",Sensación euro top suave como una nube para quienes duermen de lado,,,"Cosido a mano, garantía de por vida","Experimenta el lujo hecho a mano y la sensación naturalmente fresca y flotante del látex puro — Chattam & Wells establece un nuevo estándar en descanso premium."
g6,Híbrido|Lujo|Enfriamiento|Materiales Naturales,"Lujo hecho a mano de Spring Air Reserve — Belmont combina látex Talalay natural, lana de Nueva Zelanda y resortes encapsulados con zonas, junto a una cubierta Tencel refrescante cosida a mano, para una experiencia de sueño premium y con temperatura neutra.",Cubierta Tencel refrescante con espuma de cambio de fase y lana de Nueva Zelanda para una superficie de sueño con temperatura neutra,Látex Talalay y Serene Specialty Foam brindan 30% más alivio de presión con contorneo receptivo,Resortes encapsulados con zonas más micro-resortes Nano minimizan la perturbación de la pareja,"Resortes encapsulados con zonas con 25% más soporte en el tercio central, más encapsulamiento de espuma Deluxe Edge Support",Sensación euro top suave como una nube con látex Talalay y lana de Nueva Zelanda — ideal para quienes duermen de lado y alivio de puntos de presión,,,"Construcción cosida a mano, látex Talalay y resortes templados por zonas (2015 en tamaño Queen) diseñada para durar toda la vida","Lujo hecho a mano de Spring Air Reserve — Belmont combina látex Talalay natural, lana de Nueva Zelanda y resortes encapsulados con zonas, junto a una cubierta Tencel refrescante cosida a mano, para una experiencia de sueño premium y con temperatura neutra."
g7,Híbrido|Lujo|Enfriamiento|Materiales Naturales,"Lujo hecho a mano de Spring Air Reserve — Belmont combina látex Talalay natural, lana de Nueva Zelanda y resortes encapsulados con zonas, junto a una cubierta Tencel refrescante cosida a mano, para una experiencia de sueño premium y con temperatura neutra.",Cubierta Tencel refrescante con espuma de cambio de fase y lana de Nueva Zelanda para una superficie de sueño con temperatura neutra,Látex Talalay y Serene Specialty Foam brindan 30% más alivio de presión con contorneo receptivo,Resortes encapsulados con zonas más micro-resortes Nano minimizan la perturbación de la pareja,"Resortes encapsulados con zonas con 25% más soporte en el tercio central, más encapsulamiento de espuma Deluxe Edge Support",,"Sensación media perfecta para la mayoría y todas las posiciones de sueño, con la capacidad de respuesta equilibrada del látex Talalay",,"Construcción cosida a mano, látex Talalay y resortes templados por zonas (2015 en tamaño Queen) diseñada para durar toda la vida","Lujo hecho a mano de Spring Air Reserve — Belmont combina látex Talalay natural, lana de Nueva Zelanda y resortes encapsulados con zonas, junto a una cubierta Tencel refrescante cosida a mano, para una experiencia de sueño premium y con temperatura neutra."
s1,Híbrido|Cobre|Enfriamiento,"Infundido con cobre natural para disipar el calor, aliviar puntos de presión y reducir la inflamación, Copper by Spring Air ofrece un sueño más fresco, profundo y reparador",La infusión de cobre NatuVerex disipa el calor,Espuma de Memoria con Cobre y Espuma Hyper-Gel,Resortes encapsulados minimizan la perturbación de la pareja,"Resortes encapsulados de cinco zonas, 948 unidades",,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,Espumas y resortes premium,"Infundido con cobre natural para disipar el calor, aliviar puntos de presión y reducir la inflamación, Copper by Spring Air ofrece un sueño más fresco, profundo y reparador"
s2,Híbrido|Cobre|Enfriamiento,"Infundido con cobre natural para disipar el calor, aliviar puntos de presión y reducir la inflamación, Copper by Spring Air ofrece un sueño más fresco, profundo y reparador",La infusión de cobre NatuVerex disipa el calor,Espuma de Memoria con Cobre y Espuma Hyper-Gel,Resortes encapsulados minimizan la perturbación de la pareja,"Resortes encapsulados de cinco zonas, 948 unidades",Sensación suave y acogedora para quienes duermen de lado,,,Espumas y resortes premium,"Infundido con cobre natural para disipar el calor, aliviar puntos de presión y reducir la inflamación, Copper by Spring Air ofrece un sueño más fresco, profundo y reparador"
s3,Híbrido|Cobre|Enfriamiento,"Infundido con cobre natural para disipar el calor, aliviar puntos de presión y reducir la inflamación, Copper by Spring Air ofrece un sueño más fresco, profundo y reparador",La infusión de cobre NatuVerex disipa el calor,Espuma de Memoria con Cobre y Espuma Hyper-Gel,Resortes encapsulados minimizan la perturbación de la pareja,"Resortes encapsulados de cinco zonas, 948 unidades",,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,Espumas y resortes premium,"Infundido con cobre natural para disipar el calor, aliviar puntos de presión y reducir la inflamación, Copper by Spring Air ofrece un sueño más fresco, profundo y reparador"
s4,Híbrido|Cobre|Enfriamiento,"Infundido con cobre natural para disipar el calor, aliviar puntos de presión y reducir la inflamación, Copper by Spring Air ofrece un sueño más fresco, profundo y reparador",La infusión de cobre NatuVerex disipa el calor,Espuma de Memoria con Cobre y Espuma Hyper-Gel,Resortes encapsulados minimizan la perturbación de la pareja,"Resortes encapsulados de cinco zonas, 948 unidades",,Sensación media perfecta para la mayoría,,Espumas y resortes premium,"Infundido con cobre natural para disipar el calor, aliviar puntos de presión y reducir la inflamación, Copper by Spring Air ofrece un sueño más fresco, profundo y reparador"
s5,Híbrido|Cobre|Enfriamiento,"Infundido con cobre natural para disipar el calor, aliviar puntos de presión y reducir la inflamación, Copper by Spring Air ofrece un sueño más fresco, profundo y reparador",La infusión de cobre NatuVerex disipa el calor,Espuma de Memoria con Cobre y Espuma Hyper-Gel,Resortes encapsulados minimizan la perturbación de la pareja,"Resortes encapsulados de cinco zonas, 948 unidades",,Sensación media perfecta para la mayoría,,Espumas y resortes premium,"Infundido con cobre natural para disipar el calor, aliviar puntos de presión y reducir la inflamación, Copper by Spring Air ofrece un sueño más fresco, profundo y reparador"
s6,Híbrido|Látex|Back Supporter,"Elegancia atemporal y ciencia del sueño moderna — Fleur de Lis by Spring Air combina artesanía cosida a mano y lujosas capas de confort con soporte de resortes de precisión para un descanso indulgente y reparador","Cubierta de damasco de seda y lana fresca ayuda a regular la temperatura",Capas completas de Serene Foam y Cool-Gel Memory Foam,Resortes encapsulados minimizan la perturbación de la pareja,"Cosido a mano, resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar",Sensación suave y acogedora para quienes duermen de lado,,,Cosido a mano,"Elegancia atemporal y ciencia del sueño moderna — Fleur de Lis by Spring Air combina artesanía cosida a mano y lujosas capas de confort con soporte de resortes de precisión para un descanso indulgente y reparador"
s7,Híbrido|Látex|Back Supporter,"Elegancia atemporal y ciencia del sueño moderna — Fleur de Lis by Spring Air combina artesanía cosida a mano y lujosas capas de confort con soporte de resortes de precisión para un descanso indulgente y reparador","Cubierta de damasco de seda y lana fresca ayuda a regular la temperatura",Capas completas de Serene Foam y Cool-Gel Memory Foam,Resortes encapsulados minimizan la perturbación de la pareja,"Cosido a mano, resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar",,Sensación media perfecta para la mayoría,,Cosido a mano,"Elegancia atemporal y ciencia del sueño moderna — Fleur de Lis by Spring Air combina artesanía cosida a mano y lujosas capas de confort con soporte de resortes de precisión para un descanso indulgente y reparador"
s8,Híbrido|Látex|Back Supporter,"Elegancia atemporal y ciencia del sueño moderna — Fleur de Lis by Spring Air combina artesanía cosida a mano y lujosas capas de confort con soporte de resortes de precisión para un descanso indulgente y reparador","Cubierta de damasco de seda y lana fresca ayuda a regular la temperatura",Capas completas de Serene Foam y Cool-Gel Memory Foam,Resortes encapsulados minimizan la perturbación de la pareja,"Cosido a mano, resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar",,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,Cosido a mano,"Elegancia atemporal y ciencia del sueño moderna — Fleur de Lis by Spring Air combina artesanía cosida a mano y lujosas capas de confort con soporte de resortes de precisión para un descanso indulgente y reparador"
s9,Híbrido|Enfriamiento|Back Supporter,"Experimenta más de 90 años de innovación en soporte de espalda — la Makayla Back Supporter Hybrid combina tecnología de resortes por zonas con comodidad híbrida premium para lograr una alineación adecuada, alivio de presión y un sueño más profundo y reparador",Cubierta de cambio de fase con máximo enfriamiento,Hyper Soft Memory Foam + Serene Foam + Gel Memory Foam para un alivio de presión excepcional,Resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,Verdadera sensación suave como una nube para quienes duermen de lado,,,,"Experimenta más de 90 años de innovación en soporte de espalda — la Makayla Back Supporter Hybrid combina tecnología de resortes por zonas con comodidad híbrida premium para lograr una alineación adecuada, alivio de presión y un sueño más profundo y reparador"
s10,Híbrido|Enfriamiento|Back Supporter,"Experimenta más de 90 años de innovación en soporte de espalda — la Makayla Back Supporter Hybrid combina tecnología de resortes por zonas con comodidad híbrida premium para lograr una alineación adecuada, alivio de presión y un sueño más profundo y reparador",Cubierta de cambio de fase con máximo enfriamiento,Hyper Soft Memory Foam + Serene Foam + Gel Memory Foam para alivio de presión,Resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,,"Experimenta más de 90 años de innovación en soporte de espalda — la Makayla Back Supporter Hybrid combina tecnología de resortes por zonas con comodidad híbrida premium para lograr una alineación adecuada, alivio de presión y un sueño más profundo y reparador"
b1,Híbrido|Enfriamiento|Cubierta PCM,"Más de 90 años de innovación en soporte de espalda — la Kent combina resortes por zonas con comodidad híbrida premium para alineación, alivio de presión y un sueño más profundo",Cubierta de Material de Cambio de Fase enfría activamente la superficie,Gel Memory Foam reduce la presión + capas de espuma de confort,Resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,"Sensación suave y acogedora pero con soporte para quienes duermen de lado",,,,"Más de 90 años de innovación en soporte de espalda — la Kent combina resortes por zonas con comodidad híbrida premium para alineación, alivio de presión y un sueño más profundo"
b2,Híbrido|Enfriamiento|Cubierta PCM,"Más de 90 años de innovación en soporte de espalda — la Kent combina resortes por zonas con comodidad híbrida premium para alineación, alivio de presión y un sueño más profundo",Cubierta de Material de Cambio de Fase enfría activamente la superficie,Gel Memory Foam reduce la presión + capas de espuma de confort,Resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,Sensación media perfecta para la mayoría,,,"Más de 90 años de innovación en soporte de espalda — la Kent combina resortes por zonas con comodidad híbrida premium para alineación, alivio de presión y un sueño más profundo"
b3,Híbrido|Enfriamiento|Cubierta PCM,"Más de 90 años de innovación en soporte de espalda — la Kent combina resortes por zonas con comodidad híbrida premium para alineación, alivio de presión y un sueño más profundo",Cubierta de Material de Cambio de Fase enfría activamente la superficie,Gel Memory Foam reduce la presión + capas de espuma de confort,Resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,,"Más de 90 años de innovación en soporte de espalda — la Kent combina resortes por zonas con comodidad híbrida premium para alineación, alivio de presión y un sueño más profundo"
b4,Híbrido|Enfriamiento|Soporte por Zonas,Espuma de gel refrescante con resortes por zonas para alineación espinal,Cubierta lujosa refrescante disipa humedad y calor,Espuma de gel refrescante se adapta al cuerpo para alivio de presión,Resortes encapsulados minimizan la perturbación de la pareja,Marvelous Middle brinda 25% más soporte central,,Sensación media-suave perfecta para la mayoría,,,"Espuma de gel refrescante, resortes encapsulados por zonas, soporte focalizado y alineación espinal"
b5,Híbrido|Enfriamiento|Soporte por Zonas,Espuma de gel refrescante con resortes por zonas para alineación espinal,Cubierta lujosa refrescante disipa humedad y calor,Espuma de gel refrescante se adapta al cuerpo para alivio de presión,Resortes encapsulados minimizan la perturbación de la pareja,Marvelous Middle brinda 25% más soporte central,,,Extra firme para quienes duermen boca arriba o boca abajo,,"Espuma de gel refrescante, resortes encapsulados por zonas, soporte focalizado y alineación espinal"
b6,Resortes|Back Supporter,Resortes tradicionales de soporte con espuma refrescante y zona lumbar,,,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,Sensación media-suave perfecta para la mayoría,,,,Colchón de resortes de calidad con soporte central focalizado y alineación espinal
b7,Resortes|Back Supporter,Resortes tradicionales de soporte con espuma refrescante y zona lumbar,,,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,Sensación media-suave perfecta para la mayoría,,,,Colchón de resortes de calidad con soporte central focalizado y alineación espinal
